City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,punta arenas,-53.15,-70.9167,4.12,92,100,12.78,CL,1691059838
169,saipan,15.1355,145.701,28.39,100,0,0.45,MP,1691059839
170,nappanee,41.4428,-86.0014,16.63,92,0,1.54,US,1691059841
171,charters towers,-20.1,146.2667,16.87,65,49,4.46,AU,1691059843
172,aasiaat,68.7098,-52.8699,1.19,96,100,2.69,GL,1691059844
173,pasuquin,18.3328,120.6177,27.97,89,75,7.2,PH,1691059846
174,sisimiut,66.9395,-53.6735,6.68,83,100,1.4,GL,1691059847
175,bamboo flat,11.7,92.7167,30.05,74,40,6.69,IN,1691059848
176,bel ombre,-4.6167,55.4167,28.91,70,40,5.14,SC,1691059849
177,porto novo,6.4965,2.6036,26.9,82,100,3.31,BJ,1691059850
178,anadyr,64.75,177.4833,12.28,81,75,6.0,RU,1691059852
179,hami,42.8,93.45,39.02,9,2,3.62,CN,1691059853
180,izberbash,42.5696,47.8645,33.03,55,5,6.91,RU,1691059854
181,vorgashor,67.5833,63.95,27.87,48,9,2.7,RU,1691059855
182,geraldton,-28.7667,114.6,11.23,82,4,2.57,AU,1691059856
183,ivdel',60.6911,60.4206,26.26,49,79,2.57,RU,1691059857
184,sao joao da barra,-21.6403,-41.0511,18.05,75,0,4.71,BR,1691059858
185,ust-nera,64.5667,143.2,14.96,51,14,2.4,RU,1691059859
186,teknaf,20.8624,92.3058,27.79,87,100,4.85,BD,1691059860
187,severo-yeniseyskiy,60.3725,93.0408,23.96,43,99,2.54,RU,1691059861
188,saint-pierre,-21.3393,55.4781,24.82,78,0,8.23,RE,1691059575
189,kamaishi,39.2667,141.8833,24.67,94,36,3.89,JP,1691059865
190,fort mcmurray,56.7268,-111.381,13.77,100,75,2.57,CA,1691059866
191,lenger,42.183,69.8839,35.69,10,0,5.4,KZ,1691059867
192,kijang,35.2442,129.2139,30.85,72,59,2.58,KR,1691059868
193,mumford,5.2618,-0.759,25.28,80,100,3.77,GH,1691059869
194,wuhai,39.6647,106.8122,32.45,24,90,8.12,CN,1691059870
195,broken hill,-31.95,141.4333,16.52,38,17,4.58,AU,1691059871
196,machali,-34.1833,-70.6667,12.15,50,42,1.56,CL,1691059872
197,tsiombe,-25.3,45.4833,21.93,48,30,8.29,MG,1691059874
198,belyy yar,53.6039,91.3903,30.94,37,0,4.0,RU,1691059875
199,okhotsk,59.3833,143.3,16.2,56,100,5.42,RU,1691059876
200,longyearbyen,78.2186,15.6401,12.91,71,0,1.03,SJ,1691059877
201,ghanzi,-21.5667,21.7833,22.24,30,0,6.69,BW,1691059878
202,santyoku,37.4406,129.1708,28.04,74,47,3.4,KR,1691059879
203,yaren,-0.5472,166.916,28.68,71,1,3.24,NR,1691059881
204,inhambane,-23.865,35.3833,20.0,93,40,5.36,MZ,1691059882
205,el jadid,33.2549,-8.506,24.06,81,96,7.58,MA,1691059883
206,sinabang,2.4803,96.3801,27.55,80,99,1.43,ID,1691059885
207,chonchi,-42.6128,-73.8092,2.84,90,83,0.88,CL,1691059647
208,manaure,11.7751,-72.4445,26.96,80,0,4.42,CO,1691059887
209,naze,28.3667,129.4833,26.51,90,100,8.99,JP,1691059888
210,orivesi,61.6777,24.3572,21.72,73,99,2.68,FI,1691059889
211,tsengel,49.4783,100.8894,20.26,73,94,1.58,MN,1691059890
212,lompoc,34.6391,-120.4579,15.43,86,100,8.49,US,1691059638
213,dudinka,69.4058,86.1778,23.04,34,48,7.39,RU,1691059892
214,santa elena,-2.2333,-80.85,22.15,87,41,1.74,EC,1691059893
215,sonoita,31.85,-112.8333,29.77,41,0,0.43,MX,1691059895
216,sadovoye,47.7764,44.5089,33.68,29,100,4.65,RU,1691059896
217,casimiro de abreu,-22.4806,-42.2042,14.88,61,0,0.75,BR,1691059823
218,taseyevo,57.2169,94.8978,25.49,58,21,3.05,RU,1691059898
219,pandan,14.0453,124.1694,28.38,80,100,4.3,PH,1691059899
220,san julian,21.0167,-102.1667,12.45,84,25,1.04,MX,1691059901
221,crucecita,-28.95,-58.9833,18.68,62,5,2.32,AR,1691059903
222,praia da vitoria,38.7333,-27.0667,24.31,83,75,5.83,PT,1691059904
223,soto la marina,23.7667,-98.2167,24.25,88,0,1.28,MX,1691059905
224,parichha,25.5167,78.75,29.65,76,100,4.29,IN,1691059906
225,olyokminsk,60.3736,120.4264,22.93,40,2,1.37,RU,1691059907
226,harstad,68.799,16.5293,21.66,64,43,10.28,NO,1691059908
227,ribeira brava,32.65,-17.0667,27.35,77,28,0.14,PT,1691059909
228,young,-32.6833,-57.6333,11.95,49,92,6.44,UY,1691059910
229,broome,42.2506,-75.833,16.31,81,85,1.34,US,1691059911
230,rosetta,31.4044,30.4164,29.64,54,0,5.44,EG,1691059913
